shot_name,filename,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,backspin_rpm,sidespin_rpm,carry_yd,total_yd,rollout_yd,apex_ft,hang_time_s,landing_speed_mps,landing_angle_deg,initial_re,initial_spin_ratio,initial_cd,initial_cl,peak_cl,carry_only_yd
s2_shot_17,shot_17.json,122.92,14.40,-1.33,4119.1,6.69,4091.0,480.2,185.0,195.0,10.1,66.6,5.17,26.49,37.47,150434.8,0.167473,0.227461,0.195165,0.202274,185.0
s2_shot_18,shot_18.json,105.67,20.50,-1.72,5666.8,8.18,5609.2,806.3,142.2,154.8,12.6,73.9,5.03,23.00,49.87,129323.3,0.268011,0.250499,0.266529,0.266529,142.2
s2_shot_19,shot_19.json,128.59,12.54,-8.40,2513.7,5.13,2503.6,224.6,192.4,198.2,5.8,55.1,4.79,29.05,29.04,157373.2,0.097695,0.216443,0.163440,0.165833,192.4
s2_shot_20,shot_20.json,120.88,15.02,-2.96,4245.1,9.62,4185.4,709.5,180.8,191.2,10.4,69.0,5.21,26.10,40.03,147934.6,0.175515,0.228090,0.199231,0.217566,180.8
s2_shot_21,shot_21.json,127.35,7.24,-11.46,2320.9,-19.47,2188.2,-773.4,159.8,214.2,54.4,24.8,3.52,33.30,16.10,155855.5,0.091079,0.206284,0.169690,0.170540,159.8
s2_shot_22,shot_22.json,123.29,14.01,-6.11,3104.1,9.97,3057.3,537.3,186.0,193.1,7.1,60.3,4.95,27.66,32.33,150883.1,0.125832,0.217748,0.179061,0.181530,186.0
s2_shot_23,shot_23.json,125.52,8.64,-14.33,3062.5,-23.87,2800.5,-1239.4,161.1,161.1,-0.0,29.8,3.73,31.42,19.03,153607.5,0.121944,0.216536,0.176424,0.177656,161.1
s2_shot_24,shot_24.json,121.48,14.53,-11.23,3172.9,-6.80,3150.6,-375.5,183.5,191.3,7.8,61.6,4.98,27.32,33.50,148670.3,0.130533,0.217361,0.181227,0.183728,183.5
s2_shot_26,shot_26.json,116.97,18.42,-2.02,5035.4,9.70,4963.4,848.2,172.6,195.8,23.2,108.5,6.07,25.74,57.17,143143.6,0.215155,0.228401,0.276816,0.308703,172.6
s2_shot_27,shot_27.json,112.96,17.59,-2.26,4291.5,12.21,4194.4,907.8,162.8,177.9,15.2,75.7,5.18,25.21,46.95,138244.2,0.189868,0.226662,0.218192,0.262486,162.8
s2_shot_9,shot_9.json,94.41,20.07,2.40,4020.4,16.33,3858.1,1130.8,122.9,134.8,11.9,60.6,4.42,23.52,46.00,115543.8,0.212823,0.225950,0.271866,0.304527,122.9
s3_shot_3w_19,shot_3w_19.json,121.33,5.59,-4.84,1661.5,-11.89,1625.9,-342.2,120.0,181.8,61.8,12.3,2.52,36.61,10.00,148481.0,0.068442,0.199224,0.151288,0.151476,120.0
s3_shot_3w_21,shot_3w_21.json,119.40,5.31,-3.43,1759.7,-10.46,1730.5,-319.5,115.2,176.4,61.2,11.2,2.43,36.54,9.44,146120.2,0.073659,0.198484,0.156580,0.156688,115.2
